Home Team,Away Team,Kickoff (EAT),Original GMT,Date,League,Bookie,Match URL
Coventry,Middlesbrou,23:00,20:00,16/02,"England - The Championship
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519423
Kasimpasa,Karagumruk,20:00,17:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519130
Macclesfield,Brentford,22:30,19:30,16/02,"England - Fa Cup
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519730
Girona,Barcelona,23:00,20:00,16/02,"Spain - Primera Division
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519484
Cagliari,Lecce,22:45,19:45,16/02,"Italy - Serie A
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519702
Rio Ave,Moreirense,23:15,20:15,16/02,"Portugal - Primeira Liga
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519989
IMT,Javor,19:00,16:00,16/02,"Serbia - Superliga
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519040
Borac C,Jedinstvo Ub,15:00,12:00,16/02,"Serbia - Prva Liga
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526862
Al Ahli Jeddah,Al Ahli,19:00,16:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526351
Al Sharjah,Nasaf Qarshi,19:00,16:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526350
Al Hilal,Al Wahda Abu Dhabi,21:15,18:15,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526352
Al Shorta B,Al Duhail,21:15,18:15,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526353
CA Atlanta,Quilmes,23:00,20:00,16/02,"Argentina - Prim Nacional
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526461
Gimnasia J,Midland,23:00,20:00,16/02,"Argentina - Prim Nacional
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526460
Dep.Riestra,Newell'S,01:00,22:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519468
Comunicaciones A,Argentino Merlo,23:00,20:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526462
Shamakhi,Turan Tovuz,13:30,10:30,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526454
Qabala,Sabah,16:00,13:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526455
Zeljeznicar,Rudar Pr,20:00,17:00,16/02,"H - Premier Liga
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526459
Al-Ittihad Bahrain,Al Ittifaq Maqaba,19:00,16:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526458
Bouri,Al Hala,19:00,16:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526457
Isa Town,Busaiteen,19:00,16:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526456
Santos W,Gremio W,01:00,22:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9522918
Internacional W,Sao Paolo W,02:30,23:30,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9522919
Villa Nova,Anapolis,01:30,22:30,16/02,"Brazil - Goiano Play Off
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527446
Nova Iguacu,Marica,23:00,20:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9525028
Fluminense,Bangu,00:00,21:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9525029
Guarany Bage,Inter Santa Maria,22:00,19:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526866
Botev Vratsa,Dobrudzha,18:30,15:30,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519347
Ludogorets II,Sportist Svoge,15:00,12:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9520244
Vihren,CSKA Sofia II,15:00,12:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9520255
Tigres,Independiente Yumbo,23:00,20:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9520265
Quindio,Barranquilla,03:30,00:30,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9520270
Sonderjylland,Silkeborg,21:00,18:00,16/02,"Denmark - Superliga
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519428
Al Ittihad,Smouha,18:00,15:00,16/02,"Egypt - Premier League
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527141
Modern Sport,Kahraba,18:00,15:00,16/02,"Egypt - Premier League
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527142
Enppi,NB Egypt,21:00,18:00,16/02,"Egypt - Premier League
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527143
Aveley,Chichester,22:45,19:45,16/02,"England - Non League Premier Isthmian
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526467
Everton M21,Burnley M21,19:00,16:00,16/02,"England - Premier League ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526463
Middlesbrou.M21,Nott.Forest M21,22:00,19:00,16/02,"England - Premier League ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526661
Sunderland M21,Reading M21,22:00,19:00,16/02,"England - Premier League ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526465
Wolverhampton M21,Brighton M21,22:00,19:00,16/02,"England - Premier League ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526466
Bastia,Troyes,22:45,19:45,16/02,"France - Ligue ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519883
Aalborg,Ibv,14:00,11:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527435
Kamaz,Lokomotiv,15:00,12:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527436
Ufa,Aktobe,16:00,13:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527437
